S. No.,Degree,Major,GPA,Year of Graduation,Age,Gender,Internships,Previous Job Title,Industry,Skill1,Skill2,SoftSkill,Certification,JobRole,Work Preference
1,MBA,Electronics,7.27,2006.0,33.0,Female,3.0,Analyst,Research,Leadership,Marketing,Communication,CCNA,Mechanical Engineer,Remote
2,BBA,Management,9.59,2006.0,37.0,Male,4.0,Assistant,Manufacturing,Machine Learning,Marketing,Leadership,AWS Certified,Data Analyst,Hybrid
3,B.Com,Electronics,5.77,2013.0,29.0,Other,2.0,Assistant,Manufacturing,Java,Machine Learning,Teamwork,Scrum,Researcher,Hybrid
4,PhD,Chemistry,6.52,2007.0,27.0,Female,3.0,Intern,Finance,Marketing,Java,Teamwork,CCNA,Teacher,In-office
5,PhD,Physics,5.88,2011.0,43.0,Female,3.0,Intern,Education,Machine Learning,Data Analy,Teamwork,CCNA,HR Manager,Hybrid
6,B.Tech,Management,5.72,2011.0,25.0,Female,0.0,Consultant,Manufacturing,Excel,Machine Learning,Problem-Solving,CCNA,Researcher,In-office
7,B.Tech,Electronics,7.52,2009.0,44.0,Female,3.0,Junior Developer,Manufacturing,SQL,Python,Leadership,PMP,Project Manager,Hybrid
8,MBA,Mathematics,6.53,2006.0,29.0,Female,4.0,Engineer,Education,Communication,SQL,Adaptability,Scrum,Mechanical Engineer,Remote
9,BBA,Electronics,8.07,2015.0,41.0,Other,3.0,Consultant,Finance,Machine Learning,Leadership,Problem-Solving,Scrum,Accountant,In-office
10,BBA,Chemistry,8.38,2017.0,45.0,Female,5.0,Engineer,Manufacturing,Communication,Java,Problem-Solving,Azure,Accountant,In-office
11,PhD,Marketing,5.07,2011.0,44.0,Male,4.0,Analyst,Manufacturing,Data Analy,Python,Communication,Six Sigma,Researcher,Remote
12,BA,Physics,9.09,2018.0,45.0,Female,1.0,Assistant,IT,Excel,Excel,Teamwork,AWS Certified,HR Manager,Remote
13,B.Sc,Physics,9.84,2019.0,40.0,Other,2.0,Junior Developer,Healthcare,Marketing,Data Analy,Leadership,Data Science,Project Manager,Hybrid
