Student_ID,skills,qualification,experience_level,job_role,skills_encoded,qualification_encoded,experience_level_encoded,job_role_encoded
STU0001,"Python, SQL, TensorFlow, Machine Learning, Communication",Master's in Data Science,Senior,Data Scientist,75,14,4,8
STU0002,"HTML, CSS, JavaScript, React, Teamwork",Bachelor's in Computer Science,Mid,Frontend Developer,33,2,3,12
STU0003,"Java, Spring, SQL, REST APIs, Problem Solving",Bachelor's in Software Engineering,Senior,Backend Developer,47,9,4,3
STU0004,"Figma, Adobe XD, UI/UX Design, Creativity",Bachelor's in Design,Entry,Designer,24,4,1,9
STU0005,"Python, Django, JavaScript, React, Agile",Master's in Computer Science,Mid,Full Stack Python Developer,66,12,3,14
STU0006,"Financial Modeling, Excel, Communication, Risk Analysis",Master's in Finance,Senior,Finance,26,15,4,11
STU0007,"C++, Unreal Engine, Game Design, Teamwork",Bachelor's in Game Development,Mid,Game Developer,19,5,3,15
STU0008,"Kubernetes, Docker, AWS, CI/CD, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer,49,2,4,10
STU0009,"Java, Spring Boot, Hibernate, Microservices",Bachelor's in Software Engineering,Mid,Full Stack Java Developer,41,9,3,13
STU0010,"Solidity, Ethereum, JavaScript, Blockchain",Bachelor's in Computer Science,Entry,Blockchain Developer,91,2,1,4
STU0011,"Marketing Strategy, SEO, Content Creation, Analytics",Bachelor's in Marketing,Mid,Marketing,56,8,3,18
STU0012,"Recruitment, HR Policies, Communication, Leadership",Master's in Human Resources,Senior,HR,85,16,4,16
STU0013,"C#, .NET, SQL, ASP.NET",Bachelor's in Computer Science,Mid,C# Developer,12,2,3,5
STU0014,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer,62,7,1,20
STU0015,"Swift, iOS Development, Objective-C, UI/UX",Bachelor's in Computer Science,Mid,Mobile Developer,95,2,3,19
STU0016,"Network Security, Penetration Testing, Firewalls",Bachelor's in Cybersecurity,Senior,Cybersecurity Engineer,60,3,4,6
STU0017,"Agile, Scrum, Project Management, Leadership",Master's in Business Administration,Senior,Software Project Manager,9,11,4,21
STU0018,"C++, Unity, Game Design, 3D Modeling",Bachelor's in Game Development,Entry,Video Game Designer,15,5,1,22
STU0019,"Python, Pandas, SQL, Data Visualization",Master's in Data Science,Mid,Data Analyst,72,14,3,7
STU0020,"Kubernetes, Helm, AWS, Terraform",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer,54,2,4,17
STU0021,"HTML, CSS, JavaScript, Node.js, MongoDB",Bachelor's in Computer Science,Mid,Web Developer,32,2,3,23
STU0022,"Python, Machine Learning, Deep Learning, NLP",PhD in Artificial Intelligence,Senior,AIML,71,18,4,2
STU0023,"Java, Android Development, Kotlin, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer,35,9,3,19
STU0024,"Python, Flask, JavaScript, PostgreSQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer,68,2,1,14
STU0025,"Java, Spring, Angular, Microservices",Master's in Software Engineering,Senior,Full Stack Java Developer,43,17,4,13
STU0026,"Adobe Illustrator, Photoshop, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer,4,6,3,9
STU0027,"SQL, Tableau, Data Analysis, Statistics",Bachelor's in Statistics,Entry,Data Analyst,88,10,1,7
STU0028,"C#, Unity, Game Physics, 3D Modeling",Bachelor's in Game Development,Mid,Game Developer,14,5,3,15
STU0029,"AWS, Jenkins, Docker, Ansible",Bachelor's in Computer Science,Senior,DevOps Engineer,1,2,4,10
STU0030,"PHP, WordPress, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer,64,7,1,20
STU0031,"Python, TensorFlow, Keras, Data Science",Master's in Data Science,Mid,   ,77,14,3,1
STU0032,"Blockchain, Smart Contracts, Solidity, Web3",Bachelor's in Computer Science,Senior, ,10,2,4,0
STU0033,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid, ,81,2,3,0
STU0034, ,Bachelor's in Software Engineering,Senior, ,0,9,4,0
STU0035,"Digital Marketing, Google Analytics, SEO, PPC",Bachelor's in Marketing,Mid,Marketing,21,8,3,18
STU0036,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR,28,16,4,16
STU0037,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer,11,2,3,5
STU0038,"Swift, iOS, Xcode, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer,97,2,1,19
STU0039,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer,59,13,4,6
STU0040,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager,7,11,3,21
STU0041,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist,74,14,4,8
STU0042,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer,25,4,1,9
STU0043,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer,50,2,3,17
STU0044,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer,48,7,1,23
STU0045, ,Bachelor's in Computer Science,Mid,Full Stack Python Developer,0,2,3,14
STU0046,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer,40,17,4,13
STU0047,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer,20,5,3,15
STU0048,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer,3,2,4,10
STU0049,"PHP, Symfony, MySQL, JavaScript",  ,Entry,PHP Developer,63,1,1,20
STU0050,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,  ,Blockchain Developer,93,2,0,4
STU0051,"React, TypeScript, HTML, CSS", ,Entry,Frontend Developer,83,0,1,12
STU0052,"Java, Spring, SQL, Microservices", ,Senior,Backend Developer,45,0,4,3
STU0053,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing,55,8,3,18
STU0054,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR,30,16,4,16
STU0055,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer,13,2,3,5
STU0056,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer,96,2,1,19
STU0057,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer,65,13,4,6
STU0058,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager,89,11,3,21
STU0059,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst,73,14,1,7
STU0060,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer,52,2,4,17
STU0061,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer,34,7,3,23
STU0062,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML,80,18,4,2
STU0063,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer,39,9,3,19
STU0064,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer,69,2,1,14
STU0065,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer,44,17,4,13
STU0066,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer,6,6,3,9
STU0067,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst,86,10,1,7
STU0068, ,Bachelor's in Game Development,Mid,Game Developer,0,5,3,15
STU0069,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer,2,2,4,10
STU0070, ,Bachelor's in Information Technology,Entry,PHP Developer,0,7,1,20
STU0071, ,Master's in Data Science,Mid,Data Scientist,0,14,3,8
STU0072, ,Bachelor's in Computer Science,Senior,Blockchain Developer,0,2,4,4
STU0073, ,Bachelor's in Computer Science,Mid,Frontend Developer,0,2,3,12
STU0074,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer,37,9,4,3
STU0075,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing,23,8,3,18
STU0076,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR,28,16,4,16
STU0077,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer,11,2,3,5
STU0078,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer,98,2,1,19
STU0079,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer,59,13,4,6
STU0080,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager,7,11,3,21
STU0081,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist,74,14,4,8
STU0082,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer,25,4,1,9
STU0083,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer,50,2,3,17
STU0084,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer,48,7,1,23
STU0085,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer,67,2,3,14
STU0086,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior, ,40,17,4,0
STU0087,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid, ,20,5,3,0
STU0088,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer,3,2,4,10
